"year","seasons","districts","crop_type","production","arable_size","air_temp","atm_pressure","evapo_trans","humidity","l_stemp","ndvi","rainfall","soil_moisture","solar_rad","wind_force"
2018,"Season A","Nyamagabe","banana",2823.7,468.05,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2018,"Season A","Nyamagabe","banana",1271.68,467.98,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2018,"Season A","Nyamagabe","banana",14964.59,3529.22,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","banana",13888,4403,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2020,"Season A","Nyamagabe","banana",3894.99,1591.65,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2020,"Season A","Nyamagabe","banana",2391.81,855.67,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2020,"Season A","Nyamagabe","banana",3143.4,4448.75,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2021,"Season A","Nyamagabe","banana",3811.29,1708.4,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2021,"Season A","Nyamagabe","banana",2264.21,908.71,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2021,"Season A","Nyamagabe","banana",14066.93,4730.11,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamagabe","beans",2276.76,2789.98,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2018,"Season A","Nyamagabe","beans",203.36,3699.82,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2018,"Season A","Nyamagabe","beans",4936.93,4609.65,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","beans",6187,8231,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2021,"Season A","Nyamagabe","beans",1911.98,4176.54,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2021,"Season A","Nyamagabe","beans",3.78,23.78,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2021,"Season A","Nyamagabe","beans",4424.11,7742.59,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamagabe","Cassava",6895.28,5255.16,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","Cassava",6094,5300,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2020,"Season A","Nyamagabe","Cassava",14716.15,7743.39,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2021,"Season A","Nyamagabe","Cassava",15195.63,7230.6,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamagabe","irish_potatoes",13232.11,1785.36,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","irish_potatoes",12746,1718,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2020,"Season A","Nyamagabe","irish_potatoes",13164.41,2469.65,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2021,"Season A","Nyamagabe","irish_potatoes",15054.73,2622.45,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamagabe","Maize",2909.34,2293.84,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","Maize",3463,3318,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2020,"Season A","Nyamagabe","Maize",6605.32,4529.04,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2021,"Season A","Nyamagabe","Maize",8268.84,5603.72,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamagabe","soya",361.83,1295.3,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","soya",313,751,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2020,"Season A","Nyamagabe","soya",539.79,1290.15,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2021,"Season A","Nyamagabe","soya",745.87,1571.62,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamagabe","sweet_potatoes",47255.33,5612.65,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","sweet_potatoes",39608,5024,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2020,"Season A","Nyamagabe","sweet_potatoes",45052.94,6885.11,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2021,"Season A","Nyamagabe","sweet_potatoes",54194.97,8110.71,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamagabe","vegetables",8737.97,10495.93,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2018,"Season A","Nyamagabe","vegetables",6381.9,319.82,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","vegetables",1781,200,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2020,"Season A","Nyamagabe","vegetables",3426.56,442.28,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2021,"Season A","Nyamagabe","vegetables",8399.54,14919.33,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2021,"Season A","Nyamagabe","vegetables",4900.8,680.39,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamagabe","yams",1711.58,419.64,20.88,782.33,0.12,61.85,22.42,0,151.18,0.4,328.18,-0.68
2019,"Season A","Nyamagabe","yams",1821,255,20.18,784.26,0.13,67.69,21.5,0,141.5,0.6,328.43,-0.59
2020,"Season A","Nyamagabe","yams",1261.64,615.72,11.2,776.9,0.14,63.25,21.91,0.12,105.46,0.54,327.35,-0.62
2021,"Season A","Nyamagabe","yams",1766.2,396.9,14.79,793.89,0.2,69.45,21.03,0.07,168.28,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","banana",4026.62,1691.68,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2018,"Season A","Nyamasheke","banana",383.12,387.87,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2018,"Season A","Nyamasheke","banana",9818.42,3053.29,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","banana",9778,4436,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","banana",5135.85,2400.7,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2020,"Season A","Nyamasheke","banana",2231.94,3134.69,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2020,"Season A","Nyamasheke","banana",9742.79,3868.68,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","banana",5449.33,2432.52,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2021,"Season A","Nyamasheke","banana",2037.3,1083.45,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2021,"Season A","Nyamasheke","banana",11044.27,4075.57,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","beans",1686.22,2108.39,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2018,"Season A","Nyamasheke","beans",2291.23,2402.26,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2018,"Season A","Nyamasheke","beans",2896.23,2696.13,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","beans",4445,5749,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","beans",1452.52,2397.5,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2020,"Season A","Nyamasheke","beans",3503.54,5366.9,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","beans",1591.85,2694.25,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2021,"Season A","Nyamasheke","beans",3268.45,4122.35,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2021,"Season A","Nyamasheke","beans",4945.05,5550.45,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","Cassava",89882.87,21182.58,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","Cassava",23693,11070,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","Cassava",24409.31,10973,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","Cassava",27110.16,11953.96,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","irish_potatoes",99.46,19.12,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","irish_potatoes",127,38,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","irish_potatoes",517.26,111.22,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","irish_potatoes",580.49,122.42,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","Maize",3626.58,3126.64,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","Maize",5089,5687,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","Maize",6557.41,4993.3,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","Maize",8407.59,5432.64,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","Sorghum",142.49,65.55,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2020,"Season A","Nyamasheke","Sorghum",54.11,51.06,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","Sorghum",71.82,98.88,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","soya",1067.82,1646.92,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","soya",415,1006,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","soya",814.99,1454.85,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","soya",893.71,1464.98,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","sweet_potatoes",39893.49,5116.57,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","sweet_potatoes",17195,3108,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","sweet_potatoes",14486.95,4082.71,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","sweet_potatoes",15429.39,3832.77,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","vegetables",5839.76,6944.53,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2018,"Season A","Nyamasheke","vegetables",4807.29,366.96,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","vegetables",3480,340,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","vegetables",3144.23,380.9,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","vegetables",7668.36,10117.88,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2021,"Season A","Nyamasheke","vegetables",3761.78,419.32,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyamasheke","yams",2552.39,591.99,20.88,782.33,0.12,61.85,22.42,0.04,182.48,0.4,328.18,-0.68
2019,"Season A","Nyamasheke","yams",4029,861,20.18,784.26,0.13,67.69,21.5,0.08,139.42,0.6,328.43,-0.59
2020,"Season A","Nyamasheke","yams",4837.49,1838.04,11.2,776.9,0.14,63.25,21.91,0.07,138.16,0.54,327.35,-0.62
2021,"Season A","Nyamasheke","yams",6072.99,1256.42,14.79,793.89,0.2,69.45,21.03,0.18,165.06,0.64,327.08,-0.47
2018,"Season A","Nyanza","banana",2394.42,541.41,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2018,"Season A","Nyanza","banana",3923.82,1903.98,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2018,"Season A","Nyanza","banana",7346.58,2453.5,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","banana",8411,4748,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","banana",6961.66,3047.3,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2020,"Season A","Nyanza","banana",4886.77,1954.15,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2020,"Season A","Nyanza","banana",15490.84,4518.04,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","banana",7197.3,3178.43,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2021,"Season A","Nyanza","banana",5111.45,2024.53,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2021,"Season A","Nyanza","banana",15688.77,4921.89,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","beans",9804.63,12294.44,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2018,"Season A","Nyanza","beans",13.95,7074.82,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2018,"Season A","Nyanza","beans",1261.89,1855.2,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","beans",6584,8552,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","beans",9214.53,15781.7,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2020,"Season A","Nyanza","beans",1320.62,2064.02,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","beans",11353.84,18678.52,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2021,"Season A","Nyanza","beans",6353.47,10586.3,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2021,"Season A","Nyanza","beans",1353.1,2494.07,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","Cassava",6628.07,10586.82,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","Cassava",68844,12027,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","Cassava",57136.31,12980.46,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","Cassava",58622.06,13077.78,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","irish_potatoes",2233.67,578.4,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","irish_potatoes",1242,482,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","irish_potatoes",1145.13,249.58,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","irish_potatoes",1112.34,310.54,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","Maize",7875.34,4449.22,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","Maize",8080,3889,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","Maize",6300.38,5486.43,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","Maize",8133.58,5242.38,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","Sorghum",1659.91,1064.02,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","Sorghum",251,360,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","Sorghum",215.75,299.61,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","Sorghum",167.63,278.03,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","soya",365.52,1002.84,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","soya",416,1467,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","soya",532.84,1518.09,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","soya",475.7,1646.6,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","sweet_potatoes",23340.37,2349.24,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","sweet_potatoes",20786,2422,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","sweet_potatoes",13854.78,2227.75,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","sweet_potatoes",13922.24,2483.2,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","vegetables",12419.21,16917.71,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2018,"Season A","Nyanza","vegetables",695.09,169.59,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","vegetables",5628,731,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","vegetables",5331.46,627.28,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","vegetables",13472.78,23815.47,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2021,"Season A","Nyanza","vegetables",5639.79,606.93,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyanza","yams",2865.82,135.64,22.47,782.08,0.09,56.92,24.15,0.1,79.62,0.31,336.56,-0.74
2019,"Season A","Nyanza","yams",1279,185,21.52,784.11,0.12,64.63,22.94,0.06,117.98,0.52,336.69,-0.54
2020,"Season A","Nyanza","yams",380.49,797.51,12.53,776.76,0.14,60.48,23.37,0.13,119.52,0.45,335.61,-0.6
2021,"Season A","Nyanza","yams",927.22,943.3,16.03,793.81,0.23,67.47,22.38,0.21,128.44,0.4,334.93,-0.48
2018,"Season A","Nyarugenge","banana",2026.68,262.3,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2018,"Season A","Nyarugenge","banana",334.91,127.54,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2018,"Season A","Nyarugenge","banana",4167.06,1059.11,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","banana",6847,1522,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","banana",2542.83,673.75,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2020,"Season A","Nyarugenge","banana",1834.22,400.17,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2020,"Season A","Nyarugenge","banana",6650.03,898.69,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","banana",2662.82,713.43,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2021,"Season A","Nyarugenge","banana",1829.16,417.79,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2021,"Season A","Nyarugenge","banana",6000.08,948.57,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2018,"Season A","Nyarugenge","beans",852.16,1111.96,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2018,"Season A","Nyarugenge","beans",431.36,562.56,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2018,"Season A","Nyarugenge","beans",10.56,13.17,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","beans",1093,1362,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","beans",1526.69,2293.65,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2020,"Season A","Nyarugenge","beans",19.52,41.03,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","beans",1685.14,2442.41,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2021,"Season A","Nyarugenge","beans",844.56,1223.97,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2021,"Season A","Nyarugenge","beans",3.99,5.54,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2018,"Season A","Nyarugenge","Cassava",1487.35,911.44,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","Cassava",557,1036,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","Cassava",1696.97,1051.84,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","Cassava",1703.78,1068.02,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2018,"Season A","Nyarugenge","irish_potatoes",66.03,17.98,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","irish_potatoes",46,22,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","irish_potatoes",442.12,81.77,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","irish_potatoes",400.52,82.09,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2018,"Season A","Nyarugenge","Maize",373.8,396.77,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","Maize",411,561,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","Maize",1193.41,643.05,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","Maize",1209.12,874.39,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2018,"Season A","Nyarugenge","soya",27.98,56.38,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","soya",14,51,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","soya",105.26,202.38,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","soya",176.45,276.84,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2018,"Season A","Nyarugenge","sweet_potatoes",1690.6,267.07,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","sweet_potatoes",2068,379,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","sweet_potatoes",2059.6,295.12,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","sweet_potatoes",2015.82,371.34,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2018,"Season A","Nyarugenge","vegetables",906.56,1223.05,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2018,"Season A","Nyarugenge","vegetables",3056.48,248.34,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","vegetables",1387,199,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","vegetables",2784.52,296.06,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","vegetables",1887.17,2771.77,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2021,"Season A","Nyarugenge","vegetables",2491.23,246.49,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
2018,"Season A","Nyarugenge","yams",211.57,87.32,21.29,782.3,0.08,59.48,22.88,0.15,91,0.31,329.73,-0.88
2019,"Season A","Nyarugenge","yams",84,33,20.51,784.24,0.12,66.46,21.89,0.17,114.98,0.51,330.14,-0.65
2020,"Season A","Nyarugenge","yams",367.38,59,11.53,776.91,0.14,62.68,22.31,0.23,93.78,0.44,329.37,-0.71
2021,"Season A","Nyarugenge","yams",353.49,54.64,15.12,793.89,0.22,66.86,21.29,0.18,126.06,0.41,328.43,-0.5
